run,time,energy,future_jobs,pending_jobs,running_jobs,finished_jobs,slowdown_total,slowdown_avg,slowdown_max,slowdown_min,bounded_slowdown_total,bounded_slowdown_avg,bounded_slowdown_max,bounded_slowdown_min,waiting_time_total,waiting_time_avg,waiting_time_max,waiting_time_min
0,0,0,7,0,0,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.0,0.0,6,0,1,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.1,0.86901,5,0,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.2,4.589495,4,1,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.0,34.353375,3,2,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.2,41.794345,2,3,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.4,49.235315,1,4,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.5705882358823529,55.58202472776756,1,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0
0,1.8,64.117255,0,3,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0
0,1.8647058829411765,66.52462766894404,0,2,2,3,4.840000003999999,1.6133333346666665,2.2600000019999995,1.0,3.0,1.0,1,1,0.5411764717647058,0.18039215725490196,0.3705882358823529,0.0
0,2.15882353,74.17713649247345,0,1,2,4,6.060000005999999,1.5150000014999998,2.2600000019999995,1.0,4.0,1.0,1,1,0.6058823547058823,0.15147058867647056,0.3705882358823529,0.0
0,2.452941177058823,85.11973943364993,0,0,2,5,13.720000008000001,2.7440000016000003,7.660000002000002,1.0,5.0,1.0,1,1,2.564705884705882,0.5129411769411764,1.9588235299999999,0.0
0,5.394117647647059,194.54576884541464,0,0,1,6,15.214000008200001,2.5356666680333335,7.660000002000002,1.0,6.0,1.0,1,1,4.0176470617647055,0.669607843627451,1.9588235299999999,0.0
0,6.666666670313726,205.9951539111708,0,0,0,7,16.214000008200003,2.3162857154571435,7.660000002000002,1.0,7.0,1.0,1,1,4.0176470617647055,0.5739495802521007,1.9588235299999999,0.0
